"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"        viper.silicon.rules.producer$.produces (viper.silicon.state.State, scala.Function2, scala.collection.immutable.Seq, scala.Function1, viper.silicon.verifier.Verifier, scala.Function2)","20’080 B (0.1%)","502 (0.1%)","502 (0.1%)","1’061.8","153"
"         viper.silicon.rules.executor$.$anonfun$exec2$27 (viper.silicon.MethodCallRecord, viper.silver.ast.Method, viper.silicon.state.State, viper.silver.verifier.PartialVerificationError, scala.collection.immutable.Seq, int, scala.Function2, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","7’240 B (0%)","181 (0%)","181 (0%)","1’092.2","76"
"         viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$.$anonfun$verify$11 (viper.silicon.supporters.DefaultMethodVerificationUnitProvider.methodSupporter., scala.collection.immutable.Seq, viper.silicon.state.State, viper.silicon.state.State, viper.silicon.verifier.Verifier)","6’560 B (0%)","164 (0%)","164 (0%)","1’059.8","76"
"          viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$$$Lambda$1600.1864698869.apply (Object, Object)","6’560 B (0%)","164 (0%)","164 (0%)","1’059.8","76"
"         viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$.$anonfun$verify$8 (viper.silicon.supporters.DefaultMethodVerificationUnitProvider.methodSupporter., scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.state.State, viper.silver.cfg.silver.SilverCfg, scala.Function1, viper.silicon.state.State, viper.silicon.verifier.Verifier)","5’040 B (0%)","126 (0%)","126 (0%)","1’049.7","73"
"          viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$$$Lambda$1597.2094674928.apply (Object, Object)","5’040 B (0%)","126 (0%)","126 (0%)","1’049.7","73"
"         viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.$anonfun$checkSpecificationWelldefinedness$3 (viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider.functionsSupporter., int, scala.runtime.ObjectRef, scala.collection.immutable.Seq, scala.runtime.ObjectRef, viper.silicon.state.State, viper.silicon.verifier.Verifier)","640 B (0%)","16 (0%)","16 (0%)","827.8","14"
"          viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$$$Lambda$1449.133519494.apply (Object, Object)","640 B (0%)","16 (0%)","16 (0%)","827.8","14"
"         viper.silicon.rules.executor$.$anonfun$exec$5 (scala.collection.immutable.Seq, scala.runtime.ObjectRef, scala.collection.immutable.Seq, viper.silicon.state.State, viper.silicon.verifier.Verifier)","560 B (0%)","14 (0%)","14 (0%)","1’055.1","14"
"          viper.silicon.rules.executor$$$Lambda$1717.488280176.apply (Object, Object)","560 B (0%)","14 (0%)","14 (0%)","1’055.1","14"
"         viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.$anonfun$checkSpecificationWelldefinedness$1 (viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider.functionsSupporter., scala.collection.immutable.Seq, scala.runtime.ObjectRef, scala.collection.immutable.Seq, scala.runtime.ObjectRef, viper.silicon.state.State, viper.silicon.verifier.Verifier)","40 B (0%)","1 (0%)","1 (0%)","1’261.0","1"
"     viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","29’560 B (0.1%)","739 (0.1%)","739 (0.1%)","169.2","24"
"      viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","19’880 B (0.1%)","497 (0.1%)","497 (0.1%)","166.1","24"
"       viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","10’400 B (0%)","260 (0.1%)","260 (0%)","155.9","11"
"        viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","5’440 B (0%)","136 (0%)","136 (0%)","162.7","9"
"         viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","3’240 B (0%)","81 (0%)","81 (0%)","162.8","9"
"          viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","2’200 B (0%)","55 (0%)","55 (0%)","162.6","9"
"          viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","1’040 B (0%)","26 (0%)","26 (0%)","163.2","7"
"         viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","2’200 B (0%)","55 (0%)","55 (0%)","162.6","9"
"          viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","2’200 B (0%)","55 (0%)","55 (0%)","162.6","9"
"        viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","4’960 B (0%)","124 (0%)","124 (0%)","148.4","11"
"         viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","4’960 B (0%)","124 (0%)","124 (0%)","148.4","11"
"          viper.silicon.rules.quantifiedChunkSupporter$.summarise (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","4’960 B (0%)","124 (0%)","124 (0%)","148.4","11"
"       viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"        viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"         viper.silicon.rules.quantifiedChunkSupporter$.summarise (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"          viper.silicon.rules.quantifiedChunkSupporter$.summarisingSnapshotMap (viper.silicon.state.State, viper.silver.ast.Resource, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.Option, scala.Option)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"      viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","9’680 B (0%)","242 (0%)","242 (0%)","175.5","24"
"       viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’680 B (0%)","242 (0%)","242 (0%)","175.5","24"
"        viper.silicon.rules.quantifiedChunkSupporter$.summarise (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’680 B (0%)","242 (0%)","242 (0%)","175.5","24"
"         viper.silicon.rules.quantifiedChunkSupporter$.summarisingSnapshotMap (viper.silicon.state.State, viper.silver.ast.Resource, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.Option, scala.Option)","9’680 B (0%)","242 (0%)","242 (0%)","175.5","24"
"          viper.silicon.rules.evaluator$.generatePredicateTrigger (viper.silver.ast.PredicateAccess, viper.silicon.state.State, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier)","5’280 B (0%)","132 (0%)","132 (0%)","150.5","12"
"          viper.silicon.rules.quantifiedChunkSupporter$.heapSummarisingMaps (viper.silicon.state.State, viper.silver.ast.Resource, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.Option, scala.Option)","2’600 B (0%)","65 (0%)","65 (0%)","141.5","12"
"          viper.silicon.rules.consumer$.$anonfun$consumeTlc$29 (viper.silicon.state.State, String, viper.silver.ast.Predicate, scala.collection.immutable.List, viper.silicon.state.Heap, scala.collection.immutable.Seq, viper.silver.ast.PredicateAccess, viper.silver.verifier.PartialVerificationError, viper.silicon.state.State, scala.Function4, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","160 B (0%)","4 (0%)","4 (0%)","491.8","3"
"     viper.silicon.state.terms.MagicWandSnapshot$.apply (viper.silicon.state.terms.Term)","400 B (0%)","10 (0%)","10 (0%)","532.7","9"
"      viper.silicon.rules.producer$.produceTlc (viper.silicon.state.State, scala.Function2, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function2)","400 B (0%)","10 (0%)","10 (0%)","532.7","9"
"       viper.silicon.rules.producer$.wrappedProduceTlc (viper.silicon.state.State, scala.Function2, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function2)","400 B (0%)","10 (0%)","10 (0%)","532.7","9"
"        viper.silicon.rules.producer$.produceTlcs (viper.silicon.state.State, scala.Function2, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.Function2)","400 B (0%)","10 (0%)","10 (0%)","532.7","9"
"         viper.silicon.rules.producer$.produceR (viper.silicon.state.State, scala.Function2, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function2)","400 B (0%)","10 (0%)","10 (0%)","532.7","9"
"          viper.silicon.rules.producer$.produce (viper.silicon.state.State, scala.Function2, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function2)","400 B (0%)","10 (0%)","10 (0%)","532.7","9"
"viper.silicon.state.terms.Second","298’360 B (1.4%)","7’459 (1.5%)","7’459 (0.9%)","784.4","361"
" java.lang.Object.<init> ()","298’360 B (1.4%)","7’459 (1.5%)","7’459 (0.9%)","784.4","361"
"  viper.silicon.state.terms.Second.<init> (viper.silicon.state.terms.Term)","298’360 B (1.4%)","7’459 (1.5%)","7’459 (0.9%)","784.4","361"
"   viper.silicon.state.terms.Second$._apply (viper.silicon.state.terms.Term)","298’360 B (1.4%)","7’459 (1.5%)","7’459 (0.9%)","784.4","361"
"    viper.silicon.state.terms.Second$.apply (viper.silicon.state.terms.Term)","298’360 B (1.4%)","7’459 (1.5%)","7’459 (0.9%)","784.4","361"
"     viper.silicon.supporters.DefaultSnapshotSupporter.createSnapshotPair (viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silver.ast.Exp, viper.silver.ast.Exp, viper.silicon.verifier.Verifier)","268’400 B (1.2%)","6’710 (1.4%)","6’710 (0.8%)","852.6","351"
"      viper.silicon.supporters.DefaultSnapshotSupporter.createSnapshotPair (viper.silicon.state.State, scala.Function2, viper.silver.ast.Exp, viper.silver.ast.Exp, viper.silicon.verifier.Verifier)","268’400 B (1.2%)","6’710 (1.4%)","6’710 (0.8%)","852.6","351"
"       viper.silicon.rules.producer$.produceTlcs (viper.silicon.state.State, scala.Function2, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.Function2)","268’400 B (1.2%)","6’710 (1.4%)","6’710 (0.8%)","852.6","351"
"        viper.silicon.rules.producer$.$anonfun$produceTlcs$1 (scala.Function2, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.Function2, viper.silicon.state.State, viper.silicon.verifier.Verifier)","197’320 B (0.9%)","4’933 (1%)","4’933 (0.6%)","929.1","257"
"         viper.silicon.rules.producer$$$Lambda$1612.1301298494.apply (Object, Object)","197’320 B (0.9%)","4’933 (1%)","4’933 (0.6%)","929.1","257"
"          viper.silicon.rules.producer$.$anonfun$wrappedProduceTlc$1 (viper.silver.ast.Exp, int, scala.Function2, viper.silicon.state.State, viper.silicon.verifier.Verifier)","197’320 B (0.9%)","4’933 (1%)","4’933 (0.6%)","929.1","257"
"        viper.silicon.rules.producer$.produceR (viper.silicon.state.State, scala.Function2, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function2)","51’000 B (0.2%)","1’275 (0.3%)","1’275 (0.2%)","474.0","208"
"         viper.silicon.rules.producer$.produce (viper.silicon.state.State, scala.Function2, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function2)","48’440 B (0.2%)","1’211 (0.2%)","1’211 (0.2%)","442.1","202"
"          viper.silicon.rules.executor$.exec2 (viper.silicon.state.State, viper.silver.ast.Stmt, viper.silicon.verifier.Verifier, scala.Function2)","28’720 B (0.1%)","718 (0.1%)","718 (0.1%)","311.9","151"
"          viper.silicon.supporters.DefaultPredicateVerificationUnitProvider$predicateSupporter$.$anonfun$verify$3 (viper.silicon.supporters.DefaultPredicateVerificationUnitProvider.predicateSupporter., viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.state.State, viper.silicon.verifier.Verifier)","10’120 B (0%)","253 (0.1%)","253 (0%)","588.7","24"
"          viper.silicon.rules.predicateSupporter$.$anonfun$unfold$4 (viper.silicon.state.Store, scala.collection.immutable.ListSet, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silver.ast.Predicate, scala.collection.immutable.List, viper.silicon.state.State, scala.Function2, viper.silicon.state.State, viper.silicon.state.Heap, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","6’400 B (0%)","160 (0%)","160 (0%)","686.2","59"
"         viper.silicon.rules.producer$.$anonfun$produceTlc$3 (scala.Function2, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, scala.Function2, viper.silicon.GlobalBranchRecord, viper.silicon.state.State, viper.silicon.verifier.Verifier)","2’280 B (0%)","57 (0%)","57 (0%)","1’081.1","23"
"          viper.silicon.rules.producer$$$Lambda$2175.445601562.apply (Object, Object)","2’280 B (0%)","57 (0%)","57 (0%)","1’081.1","23"
"         <Unknown>","280 B (0%)","7 (0%)","7 (0%)","1’047.1","5"
"        viper.silicon.rules.producer$.produces (viper.silicon.state.State, scala.Function2, scala.collection.immutable.Seq, scala.Function1, viper.silicon.verifier.Verifier, scala.Function2)","20’080 B (0.1%)","502 (0.1%)","502 (0.1%)","1’061.8","153"
"         viper.silicon.rules.executor$.$anonfun$exec2$27 (viper.silicon.MethodCallRecord, viper.silver.ast.Method, viper.silicon.state.State, viper.silver.verifier.PartialVerificationError, scala.collection.immutable.Seq, int, scala.Function2, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","7’240 B (0%)","181 (0%)","181 (0%)","1’092.2","76"
"         viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$.$anonfun$verify$11 (viper.silicon.supporters.DefaultMethodVerificationUnitProvider.methodSupporter., scala.collection.immutable.Seq, viper.silicon.state.State, viper.silicon.state.State, viper.silicon.verifier.Verifier)","6’560 B (0%)","164 (0%)","164 (0%)","1’059.8","76"
"          viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$$$Lambda$1600.1864698869.apply (Object, Object)","6’560 B (0%)","164 (0%)","164 (0%)","1’059.8","76"
"         viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$.$anonfun$verify$8 (viper.silicon.supporters.DefaultMethodVerificationUnitProvider.methodSupporter., scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.state.State, viper.silver.cfg.silver.SilverCfg, scala.Function1, viper.silicon.state.State, viper.silicon.verifier.Verifier)","5’040 B (0%)","126 (0%)","126 (0%)","1’049.7","73"
"          viper.silicon.supporters.DefaultMethodVerificationUnitProvider$methodSupporter$$$Lambda$1597.2094674928.apply (Object, Object)","5’040 B (0%)","126 (0%)","126 (0%)","1’049.7","73"
"         viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.$anonfun$checkSpecificationWelldefinedness$3 (viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider.functionsSupporter., int, scala.runtime.ObjectRef, scala.collection.immutable.Seq, scala.runtime.ObjectRef, viper.silicon.state.State, viper.silicon.verifier.Verifier)","640 B (0%)","16 (0%)","16 (0%)","827.8","14"
"          viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$$$Lambda$1449.133519494.apply (Object, Object)","640 B (0%)","16 (0%)","16 (0%)","827.8","14"
"         viper.silicon.rules.executor$.$anonfun$exec$5 (scala.collection.immutable.Seq, scala.runtime.ObjectRef, scala.collection.immutable.Seq, viper.silicon.state.State, viper.silicon.verifier.Verifier)","560 B (0%)","14 (0%)","14 (0%)","1’055.1","14"
"          viper.silicon.rules.executor$$$Lambda$1717.488280176.apply (Object, Object)","560 B (0%)","14 (0%)","14 (0%)","1’055.1","14"
"         viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.$anonfun$checkSpecificationWelldefinedness$1 (viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider.functionsSupporter., scala.collection.immutable.Seq, scala.runtime.ObjectRef, scala.collection.immutable.Seq, scala.runtime.ObjectRef, viper.silicon.state.State, viper.silicon.verifier.Verifier)","40 B (0%)","1 (0%)","1 (0%)","1’261.0","1"
"     viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","29’560 B (0.1%)","739 (0.1%)","739 (0.1%)","169.2","24"
"      viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","19’880 B (0.1%)","497 (0.1%)","497 (0.1%)","166.1","24"
"       viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","10’400 B (0%)","260 (0.1%)","260 (0%)","155.9","11"
"        viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","5’440 B (0%)","136 (0%)","136 (0%)","162.7","9"
"         viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","3’240 B (0%)","81 (0%)","81 (0%)","162.8","9"
"          viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","2’200 B (0%)","55 (0%)","55 (0%)","162.6","9"
"          viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, int)","1’040 B (0%)","26 (0%)","26 (0%)","163.2","7"
"         viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","2’200 B (0%)","55 (0%)","55 (0%)","162.6","9"
"          viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","2’200 B (0%)","55 (0%)","55 (0%)","162.6","9"
"        viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","4’960 B (0%)","124 (0%)","124 (0%)","148.4","11"
"         viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","4’960 B (0%)","124 (0%)","124 (0%)","148.4","11"
"          viper.silicon.rules.quantifiedChunkSupporter$.summarise (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","4’960 B (0%)","124 (0%)","124 (0%)","148.4","11"
"       viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"        viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"         viper.silicon.rules.quantifiedChunkSupporter$.summarise (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"          viper.silicon.rules.quantifiedChunkSupporter$.summarisingSnapshotMap (viper.silicon.state.State, viper.silver.ast.Resource, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.Option, scala.Option)","9’480 B (0%)","237 (0%)","237 (0%)","177.2","24"
"      viper.silicon.state.terms.fromSnapTree$.apply (viper.silicon.state.terms.Term, scala.collection.immutable.Seq)","9’680 B (0%)","242 (0%)","242 (0%)","175.5","24"
"       viper.silicon.rules.quantifiedChunkSupporter$.summarise_predicate_or_wand (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’680 B (0%)","242 (0%)","242 (0%)","175.5","24"
"        viper.silicon.rules.quantifiedChunkSupporter$.summarise (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silver.ast.Resource, scala.Option, viper.silicon.verifier.Verifier)","9’680 B (0%)","242 (0%)","242 (0%)","175.5","24"
